placa,nombre_completo
61037,VICENCIO GARCIA JORGE AUGUSTO
903619,VICTORIA BIRU ALEJANDRO
843781,VICTORIANO SANTANA ERIC JAVIER
905345,VILLAGRANA RAMIREZ ABRAHAM DE
1156908,VILLANUEVA VALENCIA SEBASTIAN
1168445,VITE ANGELES JORDAN ALBERTO
885312,YAÑEZ GOMEZ VANESSA
1151298,ZAVALA MATEHUALA MARLENE
1168287,ZAVALA TOVAR KARLA PAOLA
730249,ZENIL OJEDA RICARDO
